statefip,statename,abbrev,region,division
0,United States,US,,
1,Alabama,AL,3,6
2,Alaska,AK,4,9
4,Arizona,AZ,4,8
5,Arkansas,AR,3,7
6,California,CA,4,9
8,Colorado,CO,4,8
9,Connecticut,CT,1,1
10,Delaware,DE,3,5
11,District of Columbia,DC,3,5
12,Florida,FL,3,5
13,Georgia,GA,3,5
15,Hawaii,HI,4,9
16,Idaho,ID,4,8
17,Illinois,IL,2,3
18,Indiana,IN,2,3
19,Iowa,IA,2,4
20,Kansas,KS,2,4
21,Kentucky,KY,3,6
22,Louisiana,LA,3,7
23,Maine,ME,1,1
24,Maryland,MD,3,5
25,Massachusetts,MA,1,1
26,Michigan,MI,2,3
27,Minnesota,MN,2,4
28,Mississippi,MS,3,6
29,Missouri,MO,2,4
30,Montana,MT,4,8
31,Nebraska,NE,2,4
32,Nevada,NV,4,8
33,New Hampshire,NH,1,1
34,New Jersey,NJ,1,2
35,New Mexico,NM,4,8
36,New York,NY,1,2
37,North Carolina,NC,3,5
38,North Dakota,ND,2,4
39,Ohio,OH,2,3
40,Oklahoma,OK,3,7
41,Oregon,OR,4,9
42,Pennsylvania,PA,1,2
44,Rhode Island,RI,1,1
45,South Carolina,SC,3,5
46,South Dakota,SD,2,4
47,Tennessee,TN,3,6
48,Texas,TX,3,7
49,Utah,UT,4,8
50,Vermont,VT,1,1
51,Virginia,VA,3,5
53,Washington,WA,4,9
54,West Virginia,WV,3,5
55,Wisconsin,WI,2,3
56,Wyoming,WY,4,8
72,Puerto Rico,PR,,
